Query,Title,Price,Reviews,ImageUrl
iphone 11,New Apple iPhone 11 (128GB) - Black,"₹59,900","25,651",https://m.media-amazon.com/images/I/71i2XhHU3pL._AC_UY218_.jpg
iphone 11,New Apple iPhone 11 (128GB) - White,"₹59,900","25,651",https://m.media-amazon.com/images/I/71QE00iB9IL._AC_UY218_.jpg
iphone 11,New Apple iPhone 11 (64GB) - Green,"₹54,900","25,651",https://m.media-amazon.com/images/I/71w3oJ7aWyL._AC_UY218_.jpg
iphone 11,New Apple iPhone 11 (128GB) - Green,"₹59,900","25,651",https://m.media-amazon.com/images/I/71w3oJ7aWyL._AC_UY218_.jpg
iphone 11,New Apple iPhone 11 (128GB) - (Product) RED,"₹59,900","25,651",https://m.media-amazon.com/images/I/71hh7cpWadL._AC_UY218_.jpg
iphone 11,New Apple iPhone 11 (64GB) - Yellow,"₹54,900","25,651",https://m.media-amazon.com/images/I/714Mg+6MoFL._AC_UY218_.jpg
iphone 11,New Apple iPhone 11 (256GB) - White,"₹69,900","25,651",https://m.media-amazon.com/images/I/71QE00iB9IL._AC_UY218_.jpg
iphone 11,New Apple iPhone 11 (256GB) - Black,"₹69,900","25,651",https://m.media-amazon.com/images/I/71i2XhHU3pL._AC_UY218_.jpg
iphone 11,Apple iPhone 11 Pro (256GB) - Silver,"₹86,900",921,https://m.media-amazon.com/images/I/61VK5q8L-oL._AC_UY218_.jpg
iphone 11,Apple iPhone 11 Pro Max (256GB) - Midnight Green,"₹1,21,300",798,https://m.media-amazon.com/images/I/61ers6OzvUL._AC_UY218_.jpg
iphone 11,Apple iPhone 11 Pro Max (64GB) - Midnight Green,"₹92,900",798,https://m.media-amazon.com/images/I/61ers6OzvUL._AC_UY218_.jpg
iphone 11,Apple iPhone 11 Pro (64GB) - Silver,"₹1,23,900",921,https://m.media-amazon.com/images/I/61VK5q8L-oL._AC_UY218_.jpg
iphone 11,Apple iPhone 11 Pro (64GB) - Space Grey,"₹84,900",921,https://m.media-amazon.com/images/I/61m6DjujESL._AC_UY218_.jpg
iphone 11,Apple iPhone 11 Pro Max (512GB) - Space Grey,"₹1,17,100",798,https://m.media-amazon.com/images/I/61tuQdl2yLL._AC_UY218_.jpg
iphone 11,Apple iPhone 11 Pro Max (64GB) - Gold,"₹79,899",44,https://m.media-amazon.com/images/I/611JavcU70L._AC_UY218_.jpg
iphone 11,New Apple iPhone 11 (128GB) - Yellow,"₹1,06,600","25,651",https://m.media-amazon.com/images/I/714Mg+6MoFL._AC_UY218_.jpg
